,binary_target
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,1
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,1
330,1
331,1
332,0
333,1
334,1
335,1
336,0
337,1
338,0
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,1
543,0
544,0
545,0
546,0
547,1
548,1
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,0
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,1
581,0
582,1
583,0
584,0
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,1
597,1
598,0
599,1
600,0
601,0
602,1
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,1
611,1
612,1
613,1
614,0
615,1
616,1
617,1
618,0
619,0
620,1
621,0
622,0
623,1
624,1
625,0
626,0
627,1
628,1
629,1
630,1
631,1
632,0
633,0
634,1
635,1
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,0
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,0
654,1
655,0
656,0
657,1
658,1
659,0
660,0
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,1
669,0
670,0
671,1
672,0
673,1
674,1
675,0
676,0
677,1
678,0
679,1
680,1
681,1
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,1
690,0
691,0
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,1
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,0
723,1
724,1
725,0
726,0
727,1
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,0
737,0
738,1
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,0
759,0
760,1
761,0
762,0
763,0
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,0
774,1
775,1
776,1
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,0
796,0
797,1
798,0
799,1
800,0
801,0
802,1
803,1
804,0
805,0
806,1
807,1
808,1
809,0
810,0
811,1
