,completed
0,0
2,0
4,0
6,0
8,1
11,0
12,0
13,1
15,1
18,0
19,0
20,0
22,1
25,1
27,1
29,1
31,0
32,1
35,1
37,1
39,1
41,0
42,1
44,1
46,1
49,0
51,0
52,1
55,1
58,1
61,1
64,1
66,1
68,0
69,0
71,1
74,0
75,0
77,1
80,1
83,1
85,1
87,0
88,1
89,1
92,1
95,1
97,1
99,1
102,1
105,1
107,1
109,0
111,1
114,0
115,0
116,0
118,1
121,0
122,0
124,1
127,0
129,1
131,1
134,0
135,0
137,0
138,0
139,0
141,1
143,0
145,1
147,1
150,1
153,1
155,0
156,1
158,1
160,1
163,1
165,0
166,1
167,1
169,0
170,0
172,0
173,0
174,1
176,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
187,1
190,0
191,0
192,1
195,0
196,0
197,0
199,1
202,0
203,0
204,0
206,1
209,1
212,1
215,1
217,1
220,0
222,0
223,1
226,0
227,0
228,1
230,0
232,0
234,1
237,1
240,0
241,1
244,1
246,1
249,1
251,0
252,1
255,0
257,1
260,1
263,0
265,0
267,0
268,0
269,0
270,0
271,0
273,0
274,0
276,0
278,1
281,0
282,1
284,1
286,1
289,0
291,0
292,0
293,1
296,0
298,1
301,1
304,1
306,0
307,0
308,1
310,1
313,0
314,1
317,1
319,1
322,1
324,0
325,1
327,1
330,1
333,0
335,1
337,1
339,1
341,0
342,0
344,1
346,0
348,0
349,1
351,0
352,0
353,1
356,0
357,0
358,0
359,0
360,1
362,1
365,0
366,1
369,1
372,1
374,1
377,0
379,1
382,1
385,0
387,1
390,0
391,0
393,0
394,0
396,0
397,0
399,1
402,1
405,1
408,1
410,1
412,1
415,0
416,1
418,0
419,0
420,0
422,0
423,1
426,1
428,0
430,0
432,1
435,0
437,0
438,0
439,1
441,1
444,0
446,1
449,0
450,1
452,0
453,0
455,1
458,0
460,0
461,0
463,0
465,0
467,0
469,0
470,0
471,0
473,1
475,1
477,1
480,1
482,1
485,0
486,0
487,1
489,1
492,1
494,1
497,1
499,1
502,1
504,0
506,0
508,0
510,0
512,0
514,0
516,1
518,0
519,1
521,0
522,0
523,0
525,1
528,0
530,0
532,1
535,1
538,0
540,1
542,1
544,1
547,1
549,1
552,1
555,1
558,1
561,0
562,0
563,1
565,0
566,1
569,1
571,0
573,1
575,0
576,1
579,1
582,1
584,0
585,1
588,1
591,1
593,0
594,0
595,0
596,1
598,1
600,1
602,1
604,0
605,0
606,1
609,1
612,1
615,1
618,1
621,0
623,1
626,0
627,0
629,0
631,1
634,1
637,0
638,0
639,1
641,1
643,1
646,0
647,1
650,1
653,1
656,1
659,0
660,1
663,0
664,0
665,0
666,0
668,0
669,0
671,1
674,0
675,0
677,0
678,0
680,0
681,1
684,1
687,1
690,1
693,1
695,1
698,1
701,0
702,0
703,1
706,1
709,1
711,1
713,1
716,0
717,1
719,0
720,0
721,1
724,1
726,0
728,1
731,1
734,1
737,1
739,0
740,1
742,0
743,0
744,0
746,0
748,1
751,0
752,1
754,0
756,0
758,1
761,0
762,0
764,0
766,1
769,1
771,0
773,1
776,1
778,1
780,1
783,0
784,1
787,1
789,1
791,0
793,1
795,1
798,1
801,1
804,1
807,1
810,0
812,1
815,1
817,1
820,1
823,0
825,0
826,0
827,0
829,1
832,1
835,1
838,0
840,0
841,1
844,0
845,0
846,0
847,1
850,1
853,1
856,1
858,0
859,0
861,0
863,0
864,0
865,1
867,1
870,1
873,0
874,1
877,1
879,1
881,0
882,1
884,1
887,0
888,0
890,1
893,1
896,0
897,0
898,1
900,1
903,0
905,0
906,0
907,1
910,1
913,1
915,0
916,0
917,0
919,1
921,1
923,0
