,viewed
0,1
2,1
4,1
6,1
8,1
11,0
12,0
13,0
15,1
18,0
19,0
20,1
22,1
25,0
27,0
29,0
31,0
32,1
35,0
37,0
39,0
41,0
42,0
44,0
46,1
49,1
51,0
52,1
55,1
58,1
61,1
64,0
66,0
68,0
69,1
71,1
74,0
75,1
77,1
80,1
83,0
85,0
87,0
88,1
89,1
92,1
95,0
97,0
99,1
102,1
105,0
107,0
109,1
111,1
114,0
115,1
116,1
118,1
121,0
122,1
124,1
127,1
129,0
131,1
134,0
135,1
137,0
138,0
139,1
141,0
143,1
145,0
147,1
150,1
153,0
155,0
156,0
158,0
160,1
163,0
165,0
166,0
167,0
169,0
170,1
172,0
173,0
174,0
176,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
187,1
190,0
191,0
192,1
195,0
196,0
197,1
199,1
202,0
203,0
204,1
206,1
209,1
212,1
215,0
217,1
220,1
222,0
223,1
226,0
227,0
228,0
230,1
232,1
234,1
237,1
240,0
241,1
244,0
246,1
249,0
251,0
252,1
255,1
257,1
260,1
263,1
265,1
267,0
268,0
269,0
270,0
271,1
273,0
274,1
276,1
278,1
281,0
282,0
284,1
286,1
289,0
291,0
292,0
293,1
296,1
298,1
301,1
304,0
306,0
307,0
308,0
310,1
313,0
314,1
317,0
319,1
322,0
324,0
325,0
327,1
330,1
333,1
335,0
337,0
339,0
341,0
342,1
344,0
346,1
348,0
349,0
351,0
352,0
353,1
356,0
357,0
358,0
359,0
360,0
362,1
365,0
366,1
369,1
372,0
374,1
377,1
379,1
382,1
385,0
387,1
390,0
391,1
393,0
394,1
396,0
397,1
399,1
402,1
405,1
408,0
410,0
412,1
415,0
416,0
418,0
419,0
420,1
422,0
423,1
426,0
428,1
430,1
432,1
435,1
437,0
438,0
439,0
441,1
444,1
446,1
449,0
450,0
452,0
453,1
455,1
458,1
460,0
461,1
463,1
465,1
467,1
469,0
470,0
471,1
473,0
475,0
477,1
480,0
482,1
485,0
486,0
487,0
489,1
492,0
494,1
497,0
499,1
502,0
504,1
506,1
508,1
510,1
512,1
514,1
516,0
518,0
519,0
521,0
522,0
523,1
525,1
528,1
530,1
532,1
535,1
538,1
540,0
542,0
544,1
547,0
549,1
552,1
555,1
558,1
561,0
562,0
563,0
565,0
566,1
569,0
571,1
573,0
575,0
576,1
579,1
582,0
584,0
585,1
588,1
591,0
593,0
594,0
595,0
596,0
598,0
600,0
602,0
604,0
605,0
606,1
609,1
612,1
615,1
618,1
621,1
623,1
626,0
627,1
629,1
631,1
634,1
637,0
638,0
639,0
641,0
643,1
646,0
647,1
650,1
653,1
656,1
659,0
660,1
663,0
664,0
665,0
666,1
668,0
669,1
671,1
674,0
675,1
677,0
678,0
680,0
681,1
684,1
687,1
690,1
693,0
695,1
698,1
701,0
702,0
703,1
706,1
709,0
711,0
713,1
716,0
717,0
719,0
720,0
721,1
724,0
726,1
728,1
731,1
734,1
737,0
739,0
740,0
742,0
743,0
744,1
746,1
748,1
751,0
752,0
754,1
756,1
758,1
761,0
762,1
764,1
766,1
769,0
771,1
773,0
776,0
778,0
780,1
783,0
784,1
787,0
789,0
791,1
793,0
795,1
798,1
801,1
804,1
807,1
810,1
812,1
815,0
817,1
820,1
823,1
825,0
826,1
827,1
829,1
832,1
835,1
838,1
840,0
841,1
844,0
845,0
846,0
847,1
850,1
853,1
856,0
858,0
859,1
861,1
863,0
864,0
865,0
867,1
870,1
873,0
874,1
877,0
879,0
881,0
882,0
884,1
887,0
888,1
890,1
893,1
896,0
897,0
898,0
900,1
903,1
905,0
906,0
907,1
910,1
913,0
915,0
916,0
917,1
919,0
921,0
923,1
925,0
927,0
929,0
930,0
932,0
934,1
936,0
937,1
939,1
941,1
943,0
944,0
945,1
948,0
949,1
952,0
953,1
956,1
959,0
960,0
961,1
963,1
966,0
967,1
970,0
971,0
973,0
975,1
978,0
979,1
982,0
983,1
986,0
987,0
989,1
992,1
995,1
997,0
998,1
1001,0
1002,1
1004,0
1005,0
1006,1
1009,0
1011,1
1014,0
1015,1
1017,0
1018,1
1021,1
1024,0
1025,0
1026,1
1029,1
1032,0
1033,1
1036,1
1039,1
1042,0
1043,1
1046,1
1049,1
1051,1
1053,1
1056,1
1059,1
1061,1
1063,0
1064,1
1067,0
1069,1
1072,0
1073,1
1076,1
1079,1
1081,0
1082,1
1085,1
1088,0
1090,0
1091,0
1092,1
1095,0
1097,1
1099,0
1100,0
1101,0
1103,1
1106,1
1109,0
1110,0
1111,1
1114,1
1116,0
1117,0
1118,0
1119,1
1121,1
1124,1
1127,1
1129,1
1130,1
1133,0
1135,1
1138,0
1139,0
1141,1
1144,1
1146,1
1149,0
1150,0
1152,0
1153,1
1156,1
1159,1
1162,1
1165,0
1166,0
1168,1
1171,0
1173,1
1176,1
1178,1
1181,0
1183,1
1186,0
1187,1
1190,0
1191,1
1194,0
1195,0
1196,0
1199,1
1202,1
1205,0
1207,1
1210,1
1213,1
1215,1
1217,0
1218,0
1219,0
1220,0
1222,1
1225,1
1228,1
1231,0
1232,1
1234,0
1235,1
1237,1
1240,0
1241,1
1244,0
1245,0
1246,0
1248,1
1250,1
1252,1
1255,0
1256,1
1258,0
1259,0
1260,0
1261,1
1264,1
1267,0
1268,0
1269,0
1271,1
1273,1
1276,1
1279,0
1280,1
1282,0
1284,0
1285,1
1287,0
1288,1
1290,1
1292,0
1293,0
1294,0
1295,0
1296,0
1298,0
1299,0
1300,0
1302,0
1304,1
1306,0
1307,0
1308,1
1311,1
1314,1
1316,1
1319,1
1321,0
1322,1
1324,0
1325,0
1327,1
1330,1
1332,1
1334,1
1337,1
1340,0
1342,1
1344,1
1347,0
1348,0
1349,1
1351,1
1354,0
1356,0
1357,0
1359,1
1362,0
1363,0
1364,1
1367,0
1368,0
1369,0
1370,1
1373,1
1376,1
1379,1
1382,0
1384,1
1387,1
1390,1
1392,1
1395,1
1398,0
1400,1
1403,0
1404,1
1407,0
1408,0
1410,1
1412,1
1414,1
1417,1
1420,0
1421,0
1422,1
1424,0
1426,1
1428,1
1430,1
1433,0
1435,1
1437,1
1440,1
1443,1
1445,1
1448,1
1451,1
1454,1
1456,0
1458,1
1461,1
1463,0
1465,1
1467,1
1470,1
1472,1
1475,1
1478,0
1480,0
1481,1
1483,0
1484,1
1486,1
1489,1
1492,0
1493,0
1495,1
1498,1
1500,0
1501,1
1503,0
1504,0
1505,0
1506,0
1507,1
1510,1
1512,1
1515,0
1517,0
1519,1
1522,1
1524,1
1526,0
1527,1
1529,1
1532,0
